"Site ID (new)","Site On-air Date","Design Type","Dismantle Date"
"BAR_M0003_4","39313.0","Micro","39756.0"
"BAR_M0054_5","39310.0","Micro","39757.0"
"BAR_M0054_6","39310.0","Micro","39757.0"
"BAR_M0080_5","39313.0","Micro","39756.0"
"BAR_M0080_6","39313.0","Micro","39756.0"
"BAR_M0089_4","39202.0","Micro","39974.0"
"BAR_M0091_4","39314.0","Micro","39756.0"
"BAR_M0091_5","39314.0","Micro","39756.0"
"BAR_M0091_6","39314.0","Micro","39756.0"
"BAR_X0025","38717.0","GF","39488.0"
"BAR_X0238","39782.0","GFRT","40390.0"
"CTG_B0558_4","39886.0","IBS","42514.0"
"CTG_B0581_4","39689.0","IBS","39959.0"
"CTG_B0594_4","39628.0","IBS","41419.0"
"CTG_B0596_4","39655.0","IBS","41020.0"
"CTG_B0912_4","39721.0","IBS","40212.0"
"CTG_B1446_4","40780.0","IBS","41597.0"
"CTG_B1449_4","40990.0","IBS","41843.0"
"CTG_B1450_4","40990.0","IBS","41845.0"
"CTG_M0002_5","39315.0","Micro","41393.0"
"CTG_M0019_5","39312.0","Micro","39678.0"
"CTG_M0050_4","39312.0","Micro","39751.0"
"CTG_M0050_5","39313.0","Micro","39751.0"
"CTG_M0070_4","39320.0","Micro","39751.0"
"CTG_M0155_6","39306.0","Micro","39750.0"
"CTG_M0229_4","39322.0","Micro","42053.0"
"CTG_M0229_5","39322.0","Micro","42053.0"
"CTG_M0229_6","39322.0","Micro","42053.0"
"CTG_M0369_4","39315.0","Micro","41116.0"
"CTG_M0386_4","39321.0","Micro","41547.0"
"CTG_M0577_4","39507.0","Micro","42257.0"
"CTG_M0577_5","39507.0","Micro","42257.0"
"CTG_N002_01","39632.0","Nano","41407.0"
"CTG_N002_02","39632.0","Nano","41407.0"
"CTG_N002_03","39632.0","Nano","41407.0"
"CTG_N002_04","39632.0","Nano","41423.0"
"CTG_N002_05","39632.0","Nano","41423.0"
"CTG_N002_06","39632.0","Nano","41423.0"
"CTG_N004_01","39691.0","Nano","42318.0"
"CTG_N004_02","39691.0","Nano","42318.0"
"CTG_N004_03","39691.0","Nano","42318.0"
"CTG_N004_04","39691.0","Nano","42318.0"
"CTG_N004_05","39691.0","Nano","42318.0"
"CTG_N004_06","39748.0","Nano","42318.0"
"CTG_N004_07","39748.0","Nano","42318.0"
"CTG_N004_08","39626.0","Nano","42318.0"
"CTG_N025_01","39842.0","Nano","42157.0"
"CTG_N025_02","39842.0","Nano","42157.0"
"CTG_N025_03","39842.0","Nano","42157.0"
"CTG_N025_04","39842.0","Nano","42157.0"
"CTG_N025_05","39842.0","Nano","42157.0"
"CTG_N025_06","39628.0","Nano","42157.0"
"CTG_N029_01","39748.0","Nano","42353.0"
"CTG_N029_02","39748.0","Nano","42353.0"
"CTG_N029_03","39748.0","Nano","42353.0"
"CTG_N029_04","39748.0","Nano","42353.0"
"CTG_N029_05","39748.0","Nano","42353.0"
"CTG_N029_06","39748.0","Nano","42353.0"
"CTG_N029_07","39748.0","Nano","42353.0"
"CTG_N029_08","39748.0","Nano","42353.0"
"CTG_N029_09","39748.0","Nano","42353.0"
"CTG_N031_01","39748.0","Nano","42389.0"
"CTG_N031_02","39748.0","Nano","42389.0"
"CTG_N031_03","39748.0","Nano","42389.0"
"CTG_N031_04","39748.0","Nano","42389.0"
"CTG_N031_05","39748.0","Nano","42389.0"
"CTG_N031_06","39748.0","Nano","42389.0"
"CTG_N031_07","39748.0","Nano","42389.0"
"CTG_N031_08","39748.0","Nano","42389.0"
"CTG_N031_09","39748.0","Nano","42389.0"
"CTG_N042_01","39994.0","Nano","40611.0"
"CTG_N042_02","39994.0","Nano","40611.0"
"CTG_N042_03","39994.0","Nano","40611.0"
"CTG_N042_04","39994.0","Nano","40933.0"
"CTG_N067_01","40285.0","Nano","42389.0"
"CTG_N067_02","40285.0","Nano","42389.0"
"CTG_N067_03","40285.0","Nano","42389.0"
"CTG_N068_01","40285.0","Nano","41975.0"
"CTG_N068_02","40285.0","Nano","41975.0"
"CTG_N076_01","40461.0","Nano","42352.0"
"CTG_N076_02","40461.0","Nano","42049.0"
"CTG_N076_03","40461.0","Nano","42352.0"
"CTG_N076_04","40461.0","Nano","42352.0"
"CTG_N077_01","40359.0","Nano","42355.0"
"CTG_N077_02","40359.0","Nano","42355.0"
"CTG_N077_03","40359.0","Nano","42355.0"
